Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Ungraded Males Total""""","Primary Ungraded Females Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Males Total""""","Year 7 Females Total""""","Year 7 Total""""","Year 8 Males Total""""","Year 8 Females Total""""","Year 8 Total""""","Year 9 Males Total""""","Year 9 Females Total""""","Year 9 Total""""","Year 10 Males Total""""","Year 10 Females Total""""","Year 10 Total""""","Year 11 Males Total""""","Year 11 Females Total""""","Year 11 Total""""","Year 12 Males""""","Year 12 Females""""","Year 12 Total""""","Secondary Ungraded Males Total""""","Secondary Ungraded Females Total""""","Secondary Ungraded Total""""","Secondary Total""""","Grand Total"""""
Catholic,2,20,Parade College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,330,335,0,335,318,0,318,320,0,320,309,0,309,246,0,246,0,0,0,1858,1858
Catholic,2,25,Simonds Catholic College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,86,81,0,81,75,0,75,89,0,89,67,0,67,89,0,89,0,0,0,487,487
Catholic,2,26,Christian Brothers' College St Kilda,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,102,103,0,103,87,0,87,67,0,67,94,0,94,92,0,92,0,0,0,545,545
Catholic,2,28,St Patrick's College Ballarat,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,246,237,0,237,247,0,247,252,0,252,253,0,253,188.6,0,188.6,0,0,0,1423.6,1423.6
Catholic,2,29,St Patrick's School,Primary,O,15,19,34,16,23,39,17,15,32,24,17,41,24,16,40,22,15,37,10,12,22,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245
Catholic,2,30,St Alipius' Parish School,Primary,O,19,25,44,16,18,34,23,20,43,22,17,39,13,17,30,25,13,38,16,12,28,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
Catholic,2,33,Emmanuel College Inc.,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,110,217,87,118,205,90,107,197,104,106,210,107,100,207,85.9,104.6,190.5,0,0,0,1226.5,1226.5
Catholic,2,35,Loreto College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.4,156.4,0,156,156,0,151,151,0,155,155,0,129,129,0,132,132,0,0,0,879.4,879.4
Catholic,2,60,St Mary's School,Primary,O,22,16,38,14,29,43,26,15,41,21,19,40,21,20,41,17,13,30,12,11,23,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
Catholic,2,77,Sacred Heart School,Primary,O,15,24,39,20,29,49,20,24,44,22,12,34,14,18,32,10,14,24,24,19,43,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
Catholic,2,78,St Mary's School,Primary,O,30,21,51,24,28,52,28,25,53,24,24,48,27,37,64,28,21,49,17,24,41,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358
Catholic,2,98,St Michael's School,Primary,O,6,3,9,3,4,7,5,8,13,11,10,21,4,11,15,7,10,17,6.2,8,14.2,0,0,0,96.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.2
Catholic,2,104,St Patrick's School,Primary,O,22,24,46,21,25,46,20,25,45,25,27,52,24,28,52,25.2,19,44.2,24,22,46,0,0,0,331.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.2
Catholic,2,106,Presentation College Windsor,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,0,92,92,0,91,91,0,93,93,0,102,102,0,86,86,0,0,0,565,565
Catholic,2,107,St Mary's School,Primary,O,20,28,48,19,25,44,16,27,43,23,20,43,28,22,50,12,22,34,9,19,28,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290
Catholic,2,111,Assumption College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,90,208,114,95,209,113,91,204,109,88,197,103,102,205,92,100,192,0,0,0,1215,1215
Catholic,2,113,St Brendan's School,Primary,O,11,21,32,18,19,37,16,13,29,14,14,28,16,14,30,4,9,13,8,11,19,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
Catholic,2,130,Catholic College Bendigo,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.2,138,263.2,137,152,289,180,154,334,199.8,176,375.8,155,133,288,139,146,285,0,0,0,1835,1835
Catholic,2,132,St Augustine's School,Primary,O,16,12,28,12,23,35,12,20,32,24,19,43,18,18,36,17,21,38,17.4,12,29.4,0,0,0,241.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.4
Catholic,2,139,St Mary's School,Primary,O,28,36,64,29,20,49,25,25,50,32,23,55,25,27,52,27,28,55,32,23,55,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380
Catholic,2,140,St Aloysius' School,Primary,O,21,11,32,15,20,35,16,14,30,13,24,37,11,12,23,15,13,28,14,13,27,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
